Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;58,30%;53,83%;2,97;387;543
Safe Lane;36,07%;52,94%;2,82;327;490

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;36,890;17,869;48.44%
Magic Wand;29,113;14,026;48.18%
Tranquil Boots;25,593;13,399;52.35%
Aghanim's Scepter;24,626;15,522;63.03%
Aghanim's Shard;22,799;13,492;59.18%
Echo Sabre;21,129;10,601;50.17%
Holy Locket;20,340;12,117;59.57%
Blade Mail;17,568;8,259;47.01%
Bracer;14,733;6,827;46.34%
Dust of Appearance;14,531;6,902;47.50%
Ring of Basilius;14,313;7,054;49.28%
Vladmir's Offering;13,542;7,308;53.97%
