Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;89,99%;49,60%;3,18;623;715
Off Lane;5,08%;44,50%;2,29;511;607

MostUsedItems
Item;Matches;Wins;Win Rate
Battle Fury;382,252;201,128;52.62%
Manta Style;372,995;209,270;56.11%
Power Treads;356,142;181,512;50.97%
Abyssal Blade;229,385;157,413;68.62%
Eye of Skadi;174,746;120,871;69.17%
Wraith Band;112,662;47,586;42.24%
Butterfly;110,088;81,699;74.21%
Black King Bar;90,105;47,105;52.28%
Skull Basher;86,617;36,024;41.59%
Aghanim's Shard;79,014;55,208;69.87%
Aghanim's Scepter;62,156;43,285;69.64%
Mind Breaker;57,054;31,854;55.83%
