Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;71,60%;54,78%;3,51;698;731
Safe Lane;21,03%;47,64%;3,04;655;654
Off Lane;6,41%;44,83%;2,27;507;539

MostUsedItems
Item;Matches;Wins;Win Rate
Gleipnir;324,720;186,643;57.48%
Boots of Travel;294,053;158,288;53.83%
Hand of Midas;292,822;149,430;51.03%
Octarine Core;219,873;146,907;66.81%
Aghanim's Scepter;169,409;108,580;64.09%
Scythe of Vyse;130,092;88,524;68.05%
Circlet;98,925;41,853;42.31%
Overwhelming Blink;84,512;63,864;75.57%
Blink Dagger;67,833;42,587;62.78%
Boots of Travel 2;54,500;39,830;73.08%
Wraith Band;53,562;22,898;42.75%
Ethereal Blade;42,851;30,606;71.42%
