Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;78,72%;52,78%;2,47;456;605
Jungle;13,32%;49,73%;2,4;428;519

MostUsedItems
Item;Matches;Wins;Win Rate
Blade Mail;448,069;242,952;54.22%
Blink Dagger;366,419;176,589;48.19%
Vanguard;285,201;138,831;48.68%
Aghanim's Shard;253,435;153,052;60.39%
Black King Bar;232,639;136,089;58.50%
Phase Boots;220,214;116,369;52.84%
Heart of Tarrasque;139,920;98,323;70.27%
Boots of Speed;111,344;43,625;39.18%
Overwhelming Blink;105,262;75,651;71.87%
Crimson Guard;101,842;61,512;60.40%
Boots of Travel;88,538;62,128;70.17%
Quelling Blade;87,011;38,948;44.76%
