Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;69,09%;49,91%;2,18;278;440
Off Lane;21,69%;48,58%;2,24;285;449

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;38,716;19,545;50.48%
Magic Wand;23,612;11,288;47.81%
Glimmer Cape;22,310;11,432;51.24%
Arcane Boots;21,648;9,634;44.50%
Aghanim's Shard;21,487;11,914;55.45%
Boots of Speed;17,391;7,963;45.79%
Force Staff;16,531;8,873;53.67%
Observer and Sentry Wards;14,104;4,924;34.91%
Aghanim's Scepter;13,617;8,791;64.56%
Dust of Appearance;11,853;5,568;46.98%
Tranquil Boots;11,815;6,026;51.00%
Smoke of Deceit;10,082;4,915;48.75%
