Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;46,15%;43,91%;2,49;369;498
Mid Lane;38,41%;47,57%;3,37;480;676
Safe Lane;10,17%;43,75%;2,2;336;473

MostUsedItems
Item;Matches;Wins;Win Rate
Boots of Travel;49,913;23,284;46.65%
Blink Dagger;49,029;22,595;46.08%
Black King Bar;44,648;22,006;49.29%
Bottle;35,039;15,621;44.58%
Aghanim's Shard;26,590;15,160;57.01%
Octarine Core;22,237;14,582;65.58%
Magic Wand;20,507;8,102;39.51%
Wind Lace;18,487;7,559;40.89%
Witch Blade;16,393;8,917;54.40%
Force Staff;14,560;5,946;40.84%
Aether Lens;10,521;3,933;37.38%
Dust of Appearance;8,723;3,289;37.70%
