Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;80,90%;50,73%;2,51;420;541
Jungle;6,48%;47,55%;2,3;406;477
Safe Lane;5,81%;44,21%;2,08;370;478

MostUsedItems
Item;Matches;Wins;Win Rate
Helm of the Overlord;27,708;14,827;53.51%
Quelling Blade;21,469;10,647;49.59%
Boots of Speed;17,223;7,838;45.51%
Blink Dagger;17,059;8,951;52.47%
Aghanim's Shard;15,676;8,413;53.67%
Magic Wand;11,443;5,622;49.13%
Black King Bar;11,113;6,130;55.16%
Iron Branch;7,231;3,551;49.11%
Assault Cuirass;5,317;3,594;67.59%
Boots of Travel;4,145;2,529;61.01%
Dust of Appearance;4,100;1,676;40.88%
Boots of Bearing;4,080;2,591;63.50%
