Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;56,03%;50,59%;2,64;450;519
Safe Lane;16,49%;46,86%;2,55;442;507
Mid Lane;15,54%;51,79%;2,98;470;488
Roaming;8,11%;49,97%;2,79;393;448

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Scepter;215,404;117,962;54.76%
Phase Boots;154,994;75,386;48.64%
Magic Wand;91,810;43,973;47.90%
Desolator;89,362;46,206;51.71%
Black King Bar;83,116;45,741;55.03%
Octarine Core;69,663;46,924;67.36%
Aether Lens;57,970;27,527;47.48%
Aghanim's Shard;54,727;32,001;58.47%
Tranquil Boots;46,102;21,953;47.62%
Vanguard;43,922;20,999;47.81%
Observer and Sentry Wards;40,630;14,463;35.60%
Quelling Blade;39,728;16,463;41.44%
