Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;78,91%;51,29%;3,09;420;581
Mid Lane;10,04%;50,23%;3,38;452;584
Safe Lane;8,81%;46,64%;2,68;397;529

MostUsedItems
Item;Matches;Wins;Win Rate
Magic Wand;13,618;6,797;49.91%
Blink Dagger;13,017;6,663;51.19%
Spirit Vessel;12,273;6,688;54.49%
Aghanim's Shard;11,978;6,493;54.21%
Phase Boots;11,582;5,522;47.68%
Aghanim's Scepter;11,580;6,144;53.06%
Quelling Blade;10,679;4,944;46.30%
Tranquil Boots;7,132;3,464;48.57%
Black King Bar;6,473;3,423;52.88%
Bracer;6,219;2,820;45.34%
Boots of Speed;6,143;2,826;46.00%
Radiance;5,774;3,471;60.11%
