Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;83,67%;49,65%;2,54;451;589
Safe Lane;11,01%;48,19%;2,8;491;620

MostUsedItems
Item;Matches;Wins;Win Rate
Vanguard;148,111;63,443;42.83%
Blade Mail;145,415;67,907;46.70%
Eternal Shroud;143,917;74,898;52.04%
Aghanim's Scepter;143,180;81,790;57.12%
Phase Boots;134,977;65,157;48.27%
Heart of Tarrasque;106,638;69,178;64.87%
Crimson Guard;80,576;43,150;53.55%
Power Treads;78,843;36,515;46.31%
Magic Wand;76,511;34,161;44.65%
Aghanim's Shard;65,810;38,338;58.26%
Black King Bar;54,695;28,153;51.47%
Quelling Blade;52,725;22,018;41.76%
