Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;45,46%;52,79%;2,87;556;713
Off Lane;44,72%;44,42%;1,89;456;564
Safe Lane;6,36%;36,50%;1,61;422;532

MostUsedItems
Item;Matches;Wins;Win Rate
Soul Ring;32,870;16,856;51.28%
Black King Bar;23,416;12,445;53.15%
Wraith Band;20,233;10,248;50.65%
Orchid Malevolence;18,189;7,851;43.16%
Aghanim's Shard;17,845;9,803;54.93%
Quelling Blade;16,770;8,076;48.16%
Power Treads;16,046;7,129;44.43%
Guardian Greaves;13,713;7,943;57.92%
Pipe of Insight;12,107;7,216;59.60%
Bloodthorn;10,372;6,226;60.03%
Arcane Boots;10,074;5,021;49.84%
Orb of Corrosion;9,737;4,999;51.34%
