Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;91,01%;52,68%;2,84;441;572

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;147,715;70,637;47.82%
Phase Boots;123,326;66,111;53.61%
Heart of Tarrasque;113,174;76,506;67.60%
Vanguard;98,643;46,288;46.92%
Aghanim's Shard;91,980;56,967;61.93%
Blade Mail;91,855;47,012;51.18%
Pipe of Insight;76,394;46,573;60.96%
Crimson Guard;61,237;36,654;59.86%
Overwhelming Blink;54,612;39,180;71.74%
Magic Wand;47,949;24,878;51.88%
Bracer;46,634;22,620;48.51%
Boots of Speed;45,668;20,782;45.51%
