Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;49,13%;52,14%;3,05;516;624
Off Lane;45,86%;51,63%;2,47;469;616

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;159,553;78,817;49.40%
Echo Sabre;111,319;57,467;51.62%
Armlet of Mordiggian;104,540;52,329;50.06%
Aghanim's Shard;96,492;54,598;56.58%
Black King Bar;82,780;42,161;50.93%
Bracer;72,917;32,484;44.55%
Heart of Tarrasque;55,906;37,489;67.06%
Magic Wand;42,547;18,970;44.59%
Quelling Blade;40,722;17,052;41.87%
Blink Dagger;39,361;21,052;53.48%
Manta Style;39,084;22,499;57.57%
Assault Cuirass;36,309;24,500;67.48%
