Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;43,39%;50,47%;2,58;301;421
Jungle;25,46%;46,92%;2,43;327;360
Off Lane;24,02%;51,10%;2,61;313;427

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;12,002;6,704;55.86%
Guardian Greaves;9,636;5,717;59.33%
Mekansm;8,170;3,557;43.54%
Ring of Basilius;5,857;2,640;45.07%
Observer and Sentry Wards;5,229;2,053;39.26%
Boots of Speed;4,829;1,812;37.52%
Vladmir's Offering;3,842;2,091;54.42%
Smoke of Deceit;3,748;1,942;51.81%
Dust of Appearance;3,626;1,728;47.66%
Wraith Pact;3,564;2,267;63.61%
Magic Wand;3,265;1,515;46.40%
Sentry Ward;2,987;1,487;49.78%
