Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;77,78%;50,44%;2,68;359;488
Safe Lane;12,33%;49,47%;2,38;328;470

MostUsedItems
Item;Matches;Wins;Win Rate
Blade Mail;115,366;58,331;50.56%
Tranquil Boots;88,592;43,514;49.12%
Magic Wand;77,783;38,588;49.61%
Aghanim's Shard;66,070;37,718;57.09%
Force Staff;54,323;27,759;51.10%
Spirit Vessel;52,509;28,701;54.66%
Aghanim's Scepter;45,959;26,602;57.88%
Phase Boots;44,307;22,094;49.87%
Dust of Appearance;39,838;18,205;45.70%
Bracer;33,647;16,050;47.70%
Lotus Orb;29,260;17,415;59.52%
Smoke of Deceit;25,670;13,078;50.95%
