Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;73,07%;52,60%;2,13;317;466
Off Lane;17,47%;52,50%;2,18;326;483
Jungle;5,13%;51,90%;2,23;340;418

MostUsedItems
Item;Matches;Wins;Win Rate
Tranquil Boots;524,801;266,265;50.74%
Aghanim's Shard;452,914;256,183;56.56%
Glimmer Cape;349,026;183,212;52.49%
Magic Wand;267,770;138,986;51.90%
Force Staff;231,683;123,712;53.40%
Blink Dagger;215,050;128,535;59.77%
Observer and Sentry Wards;173,041;69,183;39.98%
Black King Bar;166,626;103,995;62.41%
Dust of Appearance;123,018;61,234;49.78%
Aghanim's Scepter;119,982;78,192;65.17%
Smoke of Deceit;96,692;50,155;51.87%
Aether Lens;90,209;51,880;57.51%
