Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;84,80%;51,13%;2,99;431;521
Safe Lane;7,78%;47,28%;2,54;383;488

MostUsedItems
Item;Matches;Wins;Win Rate
Guardian Greaves;40,284;23,968;59.50%
Blink Dagger;39,979;21,892;54.76%
Aghanim's Scepter;34,270;19,989;58.33%
Null Talisman;26,006;13,282;51.07%
Aghanim's Shard;24,638;14,709;59.70%
Arcane Boots;20,584;8,297;40.31%
Magic Wand;18,595;9,895;53.21%
Pipe of Insight;17,051;10,622;62.30%
Soul Ring;15,006;7,403;49.33%
Quelling Blade;13,167;6,524;49.55%
Lotus Orb;10,435;6,266;60.05%
Dust of Appearance;9,014;4,236;46.99%
