Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;45,04%;49,99%;2,44;334;516
Safe Lane;42,39%;48,98%;2,3;320;494
Mid Lane;8,56%;49,07%;2,97;475;662

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Scepter;104,607;57,809;55.26%
Tranquil Boots;91,437;45,609;49.88%
Aghanim's Shard;78,689;44,373;56.39%
Magic Wand;64,124;31,961;49.84%
Eul's Scepter of Divinity;55,494;29,189;52.60%
Null Talisman;50,910;24,148;47.43%
Moon Shard;44,879;28,281;63.02%
Blink Dagger;38,499;23,004;59.75%
Dust of Appearance;38,271;18,497;48.33%
Observer and Sentry Wards;34,622;13,081;37.78%
Arcane Boots;34,305;16,688;48.65%
Force Staff;24,662;12,705;51.52%
