Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;76,54%;51,65%;3,04;464;627
Safe Lane;13,50%;51,20%;2,88;427;591
Mid Lane;8,23%;52,41%;3,76;540;718

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;172,575;90,891;52.67%
Phase Boots;160,019;79,896;49.93%
Desolator;117,176;62,486;53.33%
Black King Bar;103,266;56,401;54.62%
Soul Ring;75,774;36,602;48.30%
Blink Dagger;68,762;37,550;54.61%
Magic Wand;65,097;29,869;45.88%
Bracer;50,377;22,636;44.93%
Quelling Blade;41,403;17,347;41.90%
Assault Cuirass;37,881;26,382;69.64%
Echo Sabre;36,091;18,243;50.55%
Aghanim's Scepter;26,942;17,057;63.31%
