Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;71,46%;52,86%;2,29;302;449
Off Lane;22,36%;52,31%;2,34;317;465

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;315,926;175,564;55.57%
Aether Lens;141,059;82,695;58.62%
Arcane Boots;138,913;65,643;47.25%
Magic Wand;128,575;67,790;52.72%
Force Staff;125,227;71,765;57.31%
Guardian Greaves;100,401;68,407;68.13%
Observer and Sentry Wards;94,416;38,957;41.26%
Dust of Appearance;80,033;41,908;52.36%
Glimmer Cape;66,353;37,307;56.23%
Boots of Speed;62,995;28,612;45.42%
Smoke of Deceit;56,344;31,169;55.32%
Sentry Ward;48,254;25,426;52.69%
