Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;54,30%;48,28%;2,96;483;619
Off Lane;34,45%;49,02%;2,49;432;589
Safe Lane;10,13%;46,56%;2,1;375;521

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;70,612;38,948;55.16%
Eul's Scepter of Divinity;63,994;29,965;46.82%
Black King Bar;62,481;32,416;51.88%
Null Talisman;61,082;27,643;45.26%
Magic Wand;49,158;24,227;49.28%
Phase Boots;37,346;17,478;46.80%
Aghanim's Scepter;32,133;18,868;58.72%
Kaya and Sange;31,078;17,764;57.16%
Boots of Travel;29,012;16,298;56.18%
Shiva's Guard;28,999;18,663;64.36%
Bottle;26,130;12,127;46.41%
Guardian Greaves;20,751;12,757;61.48%
