Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;72,95%;49,87%;2,47;301;444
Off Lane;19,50%;50,15%;2,57;309;468

MostUsedItems
Item;Matches;Wins;Win Rate
Arcane Boots;149,603;71,848;48.03%
Aether Lens;144,362;77,513;53.69%
Aghanim's Scepter;128,034;79,746;62.29%
Force Staff;127,038;66,978;52.72%
Magic Wand;123,084;62,095;50.45%
Observer and Sentry Wards;86,832;33,971;39.12%
Aghanim's Shard;77,795;47,278;60.77%
Glimmer Cape;74,016;39,233;53.01%
Tranquil Boots;61,719;32,779;53.11%
Dust of Appearance;60,937;30,005;49.24%
Boots of Speed;60,063;28,376;47.24%
Smoke of Deceit;56,756;29,132;51.33%
