Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;73,00%;47,41%;2,45;521;581
Jungle;11,34%;43,58%;2,23;470;485
Safe Lane;6,83%;44,25%;2,32;503;555
Mid Lane;6,57%;47,27%;2,97;613;682

MostUsedItems
Item;Matches;Wins;Win Rate
Black King Bar;209,451;101,500;48.46%
Hand of Midas;179,337;77,476;43.20%
Blink Dagger;174,563;69,832;40.00%
Aghanim's Shard;152,274;83,558;54.87%
Phase Boots;146,326;65,018;44.43%
Aghanim's Scepter;107,255;60,247;56.17%
Octarine Core;88,679;52,208;58.87%
Shiva's Guard;83,563;52,136;62.39%
Boots of Travel;68,666;39,702;57.82%
Overwhelming Blink;58,038;42,041;72.44%
Magic Wand;44,189;15,754;35.65%
Quelling Blade;34,565;11,121;32.17%
