Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;59,47%;49,06%;2,57;436;582
Mid Lane;26,89%;50,15%;3,07;492;609
Safe Lane;12,03%;45,71%;2,48;456;548

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;134,622;63,513;47.18%
Blink Dagger;98,551;46,894;47.58%
Black King Bar;94,030;48,292;51.36%
Aghanim's Shard;83,557;43,082;51.56%
Aghanim's Scepter;64,719;40,038;61.86%
Bracer;63,313;26,571;41.97%
Soul Ring;51,571;23,312;45.20%
Assault Cuirass;38,848;25,710;66.18%
Magic Wand;37,608;16,412;43.64%
Quelling Blade;34,471;13,495;39.15%
Hand of Midas;23,247;10,598;45.59%
Silver Edge;21,617;11,618;53.74%
