Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;76,71%;53,73%;3,05;557;668
Mid Lane;14,53%;53,81%;2,8;535;677
Off Lane;7,18%;49,33%;2,05;445;545

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;617,955;334,937;54.20%
Hurricane Pike;515,518;301,613;58.51%
Aghanim's Shard;494,307;283,631;57.38%
Wraith Band;484,502;254,543;52.54%
Black King Bar;316,114;177,989;56.31%
Silver Edge;300,372;176,380;58.72%
Manta Style;290,224;184,163;63.46%
Butterfly;201,423;140,254;69.63%
Dragon Lance;137,519;60,190;43.77%
Magic Wand;122,943;65,611;53.37%
Daedalus;108,113;68,901;63.73%
Grove Bow;94,166;51,326;54.51%
