Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;61,47%;50,35%;2,44;379;538
Safe Lane;22,43%;49,25%;2,31;340;461
Mid Lane;8,32%;51,03%;2,9;434;578
Roaming;5,15%;49,00%;2,45;332;471

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;316,528;157,087;49.63%
Aghanim's Shard;276,024;148,844;53.92%
Arcane Boots;178,063;84,001;47.17%
Aghanim's Scepter;155,908;86,281;55.34%
Magic Wand;111,270;54,586;49.06%
Black King Bar;93,304;52,450;56.21%
Force Staff;91,730;50,305;54.84%
Bracer;86,781;40,363;46.51%
Dust of Appearance;72,119;33,597;46.59%
Phase Boots;66,444;32,028;48.20%
Boots of Speed;57,793;26,998;46.72%
Daedalus;51,835;31,464;60.70%
