Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;60,44%;50,62%;2,51;366;515
Safe Lane;29,07%;51,19%;2,52;323;453
Mid Lane;5,02%;51,56%;2,71;390;505

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;19,856;10,757;54.18%
Phase Boots;19,318;9,307;48.18%
Aghanim's Scepter;18,924;10,576;55.89%
Echo Sabre;15,397;7,731;50.21%
Magic Wand;11,850;5,690;48.02%
Mask of Madness;7,589;3,732;49.18%
Quelling Blade;6,847;2,849;41.61%
Bracer;6,322;2,810;44.45%
Tranquil Boots;6,155;2,916;47.38%
Dust of Appearance;5,806;2,798;48.19%
Daedalus;5,724;3,615;63.16%
Power Treads;4,704;2,099;44.62%
