Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;76,12%;47,77%;3,73;529;678
Safe Lane;17,37%;42,24%;3,3;526;615
Off Lane;5,57%;43,26%;2,57;442;562

MostUsedItems
Item;Matches;Wins;Win Rate
Bottle;195,359;91,674;46.93%
Black King Bar;182,439;89,260;48.93%
Phase Boots;178,860;83,296;46.57%
Maelstrom;161,680;65,335;40.41%
Aghanim's Scepter;156,602;91,042;58.14%
Aghanim's Shard;148,042;86,999;58.77%
Orb of Corrosion;125,197;58,636;46.83%
Boots of Travel;93,914;48,836;52.00%
Daedalus;91,346;49,105;53.76%
Gleipnir;86,170;52,425;60.84%
Magic Wand;82,064;35,249;42.95%
Desolator;60,336;30,844;51.12%
