Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;47,51%;52,13%;2,47;399;535
Jungle;33,17%;51,21%;2,83;419;484
Safe Lane;13,71%;50,28%;2,12;354;498

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;129,237;61,943;47.93%
Black King Bar;85,337;46,212;54.15%
Arcane Boots;51,086;23,769;46.53%
Aghanim's Scepter;50,053;29,929;59.79%
Boots of Speed;40,285;17,421;43.24%
Refresher Orb;30,447;19,206;63.08%
Aghanim's Shard;28,648;16,869;58.88%
Soul Ring;25,749;11,719;45.51%
Magic Wand;18,744;9,026;48.15%
Ogre Axe;17,572;4,510;25.67%
Dust of Appearance;17,097;8,051;47.09%
Observer and Sentry Wards;16,887;5,715;33.84%
