Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;76,55%;48,76%;3,31;540;675
Off Lane;19,94%;49,88%;2,76;442;533

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;464,287;219,042;47.18%
Black King Bar;354,721;187,218;52.78%
Mask of Madness;325,533;140,301;43.10%
Mjollnir;284,035;173,048;60.92%
Aghanim's Shard;271,757;162,165;59.67%
Wraith Band;204,056;78,161;38.30%
Maelstrom;142,531;36,878;25.87%
Monkey King Bar;132,717;79,037;59.55%
Magic Wand;105,987;41,087;38.77%
Quelling Blade;103,933;34,474;33.17%
Daedalus;91,863;59,286;64.54%
Eye of Skadi;87,476;62,822;71.82%
