Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;57,73%;48,16%;2,42;326;490
Off Lane;36,47%;48,42%;2,57;338;501

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;107,245;53,821;50.19%
Aghanim's Shard;99,197;54,291;54.73%
Arcane Boots;78,821;36,236;45.97%
Magic Wand;69,577;33,187;47.70%
Glimmer Cape;51,207;25,648;50.09%
Force Staff;48,883;24,879;50.89%
Observer and Sentry Wards;44,148;15,946;36.12%
Dust of Appearance;40,154;18,884;47.03%
Aghanim's Scepter;39,908;23,593;59.12%
Boots of Speed;38,307;16,394;42.80%
Tranquil Boots;36,397;18,285;50.24%
Smoke of Deceit;28,108;13,619;48.45%
