Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;55,79%;47,02%;2,83;520;608
Off Lane;30,05%;51,09%;2,5;401;557
Mid Lane;11,77%;46,37%;2,74;515;641

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;228,357;119,753;52.44%
Magic Wand;92,722;47,079;50.77%
Veil of Discord;74,950;40,553;54.11%
Tranquil Boots;71,004;37,311;52.55%
Black King Bar;63,377;31,731;50.07%
Ethereal Blade;60,806;36,908;60.70%
Power Treads;53,568;23,135;43.19%
Force Staff;51,140;27,048;52.89%
Arcane Boots;46,124;22,868;49.58%
Aghanim's Scepter;45,839;24,281;52.97%
Dust of Appearance;45,201;21,690;47.99%
Wraith Band;44,604;18,260;40.94%
