Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;61,67%;50,64%;3,2;380;567
Safe Lane;26,97%;48,97%;2,95;366;554
Mid Lane;8,90%;47,88%;3,91;539;711

MostUsedItems
Item;Matches;Wins;Win Rate
Gleipnir;187,026;104,682;55.97%
Aghanim's Shard;172,355;94,479;54.82%
Aether Lens;169,078;84,366;49.90%
Magic Wand;165,615;81,574;49.26%
Arcane Boots;145,102;70,467;48.56%
Tranquil Boots;94,802;46,501;49.05%
Boots of Speed;94,393;42,075;44.57%
Dust of Appearance;89,474;41,757;46.67%
Blight Stone;83,774;39,316;46.93%
Maelstrom;82,383;32,132;39.00%
Observer and Sentry Wards;75,896;27,169;35.80%
Wraith Band;74,743;34,833;46.60%
