Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;51,73%;54,48%;2,31;501;660
Off Lane;27,17%;48,24%;1,69;430;554
Safe Lane;17,56%;49,44%;2,04;466;555

MostUsedItems
Item;Matches;Wins;Win Rate
Armlet of Mordiggian;237,500;121,894;51.32%
Black King Bar;178,481;97,855;54.83%
Bracer;136,041;60,492;44.47%
Aghanim's Scepter;125,008;78,737;62.99%
Aghanim's Shard;114,312;73,467;64.27%
Heaven's Halberd;114,187;66,769;58.47%
Power Treads;100,224;49,690;49.58%
Boots of Speed;97,482;44,259;45.40%
Gauntlets of Strength;61,560;27,818;45.19%
Satanic;54,460;36,005;66.11%
Morbid Mask;35,443;14,227;40.14%
Boots of Travel;31,597;22,414;70.94%
