Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;79,66%;48,02%;3,39;524;639
Off Lane;13,44%;48,34%;2,71;376;524
Safe Lane;5,63%;45,89%;2,55;376;519

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;389,533;201,111;51.63%
Boots of Travel;371,377;191,128;51.46%
Hand of Midas;320,465;146,355;45.67%
Null Talisman;286,692;118,167;41.22%
Black King Bar;269,520;138,146;51.26%
Blink Dagger;203,050;111,043;54.69%
Scythe of Vyse;193,296;116,646;60.35%
Aghanim's Scepter;190,711;107,565;56.40%
Magic Wand;118,477;51,143;43.17%
Refresher Orb;90,441;57,824;63.94%
Boots of Speed;73,072;21,803;29.84%
Linken's Sphere;62,552;37,857;60.52%
