Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;60,46%;48,17%;2,44;266;443
Off Lane;26,95%;48,76%;2,46;277;446
Mid Lane;7,76%;45,85%;2,42;374;493

MostUsedItems
Item;Matches;Wins;Win Rate
Mekansm;48,611;24,394;50.18%
Holy Locket;35,544;20,720;58.29%
Magic Wand;21,778;9,462;43.45%
Observer and Sentry Wards;18,403;7,055;38.34%
Dust of Appearance;17,965;8,656;48.18%
Aghanim's Shard;16,406;9,930;60.53%
Ring of Basilius;12,275;6,503;52.98%
Guardian Greaves;12,136;7,669;63.19%
Philosopher's Stone;11,643;5,924;50.88%
Glimmer Cape;11,564;6,171;53.36%
Ghost Scepter;11,156;5,753;51.57%
Smoke of Deceit;10,932;5,647;51.66%
