Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;62,27%;52,42%;2,29;334;485
Off Lane;30,89%;52,74%;2,35;353;505

MostUsedItems
Item;Matches;Wins;Win Rate
Arcane Boots;195,212;94,766;48.55%
Force Staff;188,876;100,041;52.97%
Aghanim's Shard;186,802;108,765;58.22%
Magic Wand;150,995;78,333;51.88%
Aether Lens;127,372;70,294;55.19%
Aghanim's Scepter;117,929;74,725;63.36%
Observer and Sentry Wards;106,813;44,256;41.43%
Eul's Scepter of Divinity;97,737;53,608;54.85%
Dust of Appearance;75,093;37,692;50.19%
Glimmer Cape;73,249;38,632;52.74%
Tranquil Boots;65,698;33,828;51.49%
Smoke of Deceit;64,005;33,992;53.11%
