Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;88,08%;52,25%;3,34;576;685
Off Lane;5,95%;47,11%;2,27;481;581

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;584,937;299,809;51.25%
Aghanim's Shard;503,458;284,804;56.57%
Manta Style;362,161;205,825;56.83%
Mjollnir;318,762;200,234;62.82%
Wraith Band;260,061;118,331;45.50%
Skull Basher;235,042;129,619;55.15%
Maelstrom;209,736;74,480;35.51%
Blink Dagger;192,303;107,755;56.03%
Magic Wand;182,706;85,362;46.72%
Aghanim's Scepter;170,182;108,932;64.01%
Abyssal Blade;157,485;108,443;68.86%
Quelling Blade;152,351;63,283;41.54%
