Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;41,24%;47,50%;2,55;339;452
Off Lane;38,98%;48,91%;2,82;372;505
Mid Lane;14,51%;49,00%;4,0;558;693

MostUsedItems
Item;Matches;Wins;Win Rate
Tranquil Boots;64,770;29,270;45.19%
Aghanim's Scepter;58,657;30,048;51.23%
Force Staff;37,750;17,613;46.66%
Dagon (level 5);26,496;14,322;54.05%
Boots of Travel;25,866;13,504;52.21%
Ethereal Blade;21,156;11,365;53.72%
Observer and Sentry Wards;19,559;6,822;34.88%
Magic Wand;18,686;8,675;46.43%
Octarine Core;17,704;11,253;63.56%
Aghanim's Shard;17,574;10,002;56.91%
Dust of Appearance;14,646;6,543;44.67%
Aether Lens;14,447;6,866;47.53%
