Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;43,79%;49,03%;3,41;533;656
Off Lane;36,93%;47,98%;2,69;457;580
Safe Lane;15,40%;46,03%;2,81;413;509

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;149,710;69,753;46.59%
Bracer;116,230;50,756;43.67%
Black King Bar;104,756;53,759;51.32%
Silver Edge;98,123;50,346;51.31%
Aghanim's Shard;79,946;41,474;51.88%
Aghanim's Scepter;75,419;41,911;55.57%
Daedalus;75,037;41,421;55.20%
Magic Wand;42,098;18,807;44.67%
Quelling Blade;39,712;15,944;40.15%
Assault Cuirass;39,418;25,758;65.35%
Bottle;38,469;17,932;46.61%
Heaven's Halberd;24,240;12,365;51.01%
