Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;58,74%;51,45%;2,61;454;611
Jungle;21,51%;46,36%;2,33;444;540
Safe Lane;10,59%;47,27%;2,62;470;601
Mid Lane;7,59%;52,02%;2,98;506;673

MostUsedItems
Item;Matches;Wins;Win Rate
Blade Mail;580,798;317,746;54.71%
Blink Dagger;536,088;284,130;53.00%
Phase Boots;416,268;223,972;53.80%
Black King Bar;371,583;217,762;58.60%
Assault Cuirass;186,469;135,206;72.51%
Bracer;172,131;84,704;49.21%
Desolator;139,198;85,873;61.69%
Quelling Blade;137,453;63,720;46.36%
Magic Wand;118,181;59,458;50.31%
Power Treads;110,539;58,883;53.27%
Aghanim's Shard;97,125;61,358;63.17%
Aghanim's Scepter;92,821;63,972;68.92%
