Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;50,03%;49,97%;2,79;544;677
Off Lane;29,77%;47,46%;2,04;423;537
Safe Lane;17,69%;45,38%;1,98;394;491

MostUsedItems
Item;Matches;Wins;Win Rate
Bloodstone;89,678;47,293;52.74%
Aghanim's Shard;61,997;32,604;52.59%
Boots of Travel;55,964;33,909;60.59%
Bottle;51,302;24,838;48.42%
Black King Bar;47,924;25,680;53.58%
Kaya and Sange;35,944;23,639;65.77%
Null Talisman;35,877;15,295;42.63%
Magic Wand;33,275;14,931;44.87%
Eul's Scepter of Divinity;29,432;13,434;45.64%
Boots of Speed;25,240;7,593;30.08%
Blink Dagger;19,924;12,357;62.02%
Arcane Boots;19,294;7,310;37.89%
