Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;67,60%;51,44%;2,38;311;467
Off Lane;27,28%;51,80%;2,49;323;472

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;235,012;129,978;55.31%
Tranquil Boots;168,790;87,089;51.60%
Aether Lens;152,860;83,868;54.87%
Force Staff;145,513;79,160;54.40%
Magic Wand;121,650;62,727;51.56%
Glimmer Cape;116,728;62,607;53.63%
Observer and Sentry Wards;92,894;37,741;40.63%
Arcane Boots;79,628;38,090;47.83%
Dust of Appearance;70,070;35,552;50.74%
Aghanim's Scepter;64,368;41,016;63.72%
Smoke of Deceit;57,942;30,665;52.92%
Aeon Disk;57,611;35,653;61.89%
