Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;72,02%;50,72%;3,64;543;673
Jungle;13,20%;44,46%;2,64;463;555
Off Lane;12,39%;47,80%;2,61;466;624

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;254,461;126,773;49.82%
Desolator;174,216;92,102;52.87%
Armlet of Mordiggian;148,877;73,822;49.59%
Aghanim's Shard;123,721;71,239;57.58%
Skull Basher;118,236;57,903;48.97%
Abyssal Blade;90,348;59,331;65.67%
Assault Cuirass;80,344;54,535;67.88%
Quelling Blade;73,900;30,518;41.30%
Bracer;56,476;24,230;42.90%
Orb of Corrosion;48,222;24,027;49.83%
Sange and Yasha;45,526;26,424;58.04%
Monkey King Bar;44,415;25,567;57.56%
