Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;52,17%;47,73%;2,79;558;699
Off Lane;24,97%;46,08%;2,02;390;525
Safe Lane;21,12%;45,07%;1,95;392;510

MostUsedItems
Item;Matches;Wins;Win Rate
Boots of Travel;391,975;210,320;53.66%
Black King Bar;386,770;199,175;51.50%
Silver Edge;313,247;170,327;54.37%
Falcon Blade;221,131;105,706;47.80%
Gleipnir;168,806;103,837;61.51%
Bottle;166,532;76,594;45.99%
Satanic;155,153;102,463;66.04%
Maelstrom;136,297;50,100;36.76%
Null Talisman;129,904;51,454;39.61%
Aghanim's Shard;119,728;69,799;58.30%
Magic Wand;117,345;51,025;43.48%
Boots of Speed;79,084;19,975;25.26%
