Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;65,50%;47,13%;1,86;300;455
Off Lane;24,71%;47,07%;1,92;307;479
Mid Lane;6,32%;45,20%;2,54;407;581

MostUsedItems
Item;Matches;Wins;Win Rate
Tranquil Boots;609,534;283,305;46.48%
Blink Dagger;522,775;263,954;50.49%
Aghanim's Scepter;328,321;187,537;57.12%
Magic Wand;239,013;110,065;46.05%
Aether Lens;228,740;123,961;54.19%
Aghanim's Shard;212,642;120,946;56.88%
Observer and Sentry Wards;160,177;54,262;33.88%
Dust of Appearance;141,491;64,404;45.52%
Force Staff;138,099;69,197;50.11%
Ghost Scepter;106,815;52,597;49.24%
Sentry Ward;92,080;41,263;44.81%
Glimmer Cape;88,119;43,672;49.56%
