Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;64,98%;47,26%;2,54;394;553
Mid Lane;19,72%;48,34%;3,17;484;615
Safe Lane;11,57%;47,46%;2,25;361;530

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;287,702;140,873;48.96%
Aghanim's Shard;227,145;118,170;52.02%
Arcane Boots;118,222;52,140;44.10%
Magic Wand;111,951;55,144;49.26%
Force Staff;88,484;48,908;55.27%
Black King Bar;88,275;47,256;53.53%
Bracer;85,256;39,367;46.18%
Aether Lens;83,411;45,784;54.89%
Quelling Blade;71,096;32,407;45.58%
Boots of Speed;55,973;25,427;45.43%
Guardian Greaves;48,938;30,463;62.25%
Dust of Appearance;48,571;22,015;45.33%
