Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;90,02%;47,58%;2,8;435;594
Mid Lane;6,14%;48,56%;3,54;512;682

MostUsedItems
Item;Matches;Wins;Win Rate
Blink Dagger;209,272;94,343;45.08%
Phase Boots;198,132;93,766;47.33%
Black King Bar;179,201;94,661;52.82%
Aghanim's Shard;173,805;91,683;52.75%
Soul Ring;109,828;49,962;45.49%
Bracer;92,467;39,491;42.71%
Magic Wand;85,474;36,970;43.25%
Desolator;62,806;34,451;54.85%
Quelling Blade;55,406;21,236;38.33%
Refresher Orb;38,820;25,338;65.27%
Overwhelming Blink;32,151;22,518;70.04%
Assault Cuirass;29,729;19,981;67.21%
