Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;69,34%;55,05%;2,82;598;780
Safe Lane;14,99%;43,49%;2,04;510;664
Off Lane;7,78%;41,17%;1,68;450;608
Jungle;5,87%;41,83%;1,87;516;660

MostUsedItems
Item;Matches;Wins;Win Rate
Dragon Lance;128,560;71,631;55.72%
Power Treads;128,453;69,763;54.31%
Wraith Band;103,788;49,632;47.82%
Blink Dagger;90,936;48,938;53.82%
Eye of Skadi;86,590;57,692;66.63%
Scythe of Vyse;63,094;40,667;64.45%
Aghanim's Scepter;54,498;34,888;64.02%
Diffusal Blade;29,437;16,293;55.35%
Quelling Blade;23,255;9,992;42.97%
Aghanim's Shard;18,526;11,641;62.84%
Ultimate Orb;16,602;5,869;35.35%
Swift Blink;15,107;11,207;74.18%
