Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;53,28%;52,26%;3,4;375;516
Safe Lane;19,71%;49,78%;3,18;374;494
Mid Lane;15,38%;50,85%;3,54;458;536
Roaming;6,54%;49,19%;3,22;364;468
Jungle;5,09%;50,85%;3,26;387;460

MostUsedItems
Item;Matches;Wins;Win Rate
Magic Wand;188,913;100,181;53.03%
Arcane Boots;158,577;80,109;50.52%
Wraith Band;156,238;78,555;50.28%
Gleipnir;120,826;74,421;61.59%
Aghanim's Scepter;105,261;66,676;63.34%
Aghanim's Shard;102,446;64,698;63.15%
Power Treads;99,871;49,729;49.79%
Eul's Scepter of Divinity;94,315;52,452;55.61%
Observer and Sentry Wards;80,307;31,871;39.69%
Spirit Vessel;77,863;45,163;58.00%
Dust of Appearance;77,646;38,690;49.83%
Force Staff;71,989;38,743;53.82%
