Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;50,62%;46,08%;2,79;508;637
Mid Lane;25,36%;50,10%;2,89;493;641
Off Lane;21,12%;45,92%;2,15;406;535

MostUsedItems
Item;Matches;Wins;Win Rate
Black King Bar;217,244;108,934;50.14%
Phase Boots;134,825;61,938;45.94%
Echo Sabre;134,799;61,957;45.96%
Power Treads;134,039;61,767;46.08%
Orb of Corrosion;90,846;40,419;44.49%
Wraith Band;87,848;33,240;37.84%
Eye of Skadi;75,736;49,085;64.81%
Magic Wand;73,827;28,745;38.94%
Desolator;73,563;41,857;56.90%
Skull Basher;69,212;34,963;50.52%
Aghanim's Scepter;58,557;37,301;63.70%
Quelling Blade;57,905;20,226;34.93%
