Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;67,12%;47,60%;3,32;566;670
Mid Lane;26,42%;49,01%;3,05;553;696

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;183,313;83,330;45.46%
Manta Style;153,075;76,786;50.16%
Morbid Mask;95,671;33,679;35.20%
Eye of Skadi;92,890;57,937;62.37%
Black King Bar;90,998;44,664;49.08%
Aghanim's Shard;74,869;42,319;56.52%
Wraith Band;58,195;21,009;36.10%
Linken's Sphere;57,072;31,036;54.38%
Satanic;55,957;38,978;69.66%
Magic Wand;55,287;21,041;38.06%
Dragon Lance;52,112;23,384;44.87%
Aghanim's Scepter;50,437;28,799;57.10%
