Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;41,11%;44,21%;2,05;528;553
Jungle;27,39%;41,49%;2,05;533;507
Safe Lane;15,33%;43,48%;2,09;546;578
Mid Lane;9,68%;45,33%;2,49;632;678
Roaming;6,48%;41,37%;1,92;491;482

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;213,374;95,606;44.81%
Black King Bar;127,876;64,011;50.06%
Silver Edge;106,981;55,003;51.41%
Bloodthorn;90,805;52,009;57.28%
Hand of Midas;82,935;32,765;39.51%
Orchid Malevolence;81,570;29,486;36.15%
Desolator;80,557;40,900;50.77%
Blight Stone;74,719;26,958;36.08%
Gleipnir;70,310;38,685;55.02%
Maelstrom;61,487;20,420;33.21%
Aghanim's Scepter;49,376;26,536;53.74%
Aghanim's Shard;49,080;26,879;54.77%
