Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;48,68%;53,97%;2,85;448;569
Mid Lane;34,34%;53,31%;3,43;524;668
Safe Lane;14,81%;52,48%;2,79;407;504

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;205,386;108,009;52.59%
Null Talisman;169,606;76,661;45.20%
Radiance;137,705;79,156;57.48%
Magic Wand;124,833;59,984;48.05%
Eternal Shroud;94,196;51,242;54.40%
Boots of Travel;88,660;54,059;60.97%
Kaya and Sange;80,071;46,533;58.11%
Blink Dagger;77,847;39,541;50.79%
Aghanim's Scepter;66,218;41,288;62.35%
Boots of Speed;64,554;23,308;36.11%
Hood of Defiance;63,079;26,069;41.33%
Lotus Orb;62,220;34,165;54.91%
