Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;80,04%;52,30%;3,12;438;599
Safe Lane;8,12%;47,65%;2,83;398;512
Mid Lane;7,23%;51,55%;3,3;434;556

MostUsedItems
Item;Matches;Wins;Win Rate
Phase Boots;140,995;71,878;50.98%
Black King Bar;114,124;64,436;56.46%
Aghanim's Shard;102,584;58,572;57.10%
Bracer;75,747;34,610;45.69%
Blink Dagger;74,766;41,342;55.30%
Echo Sabre;62,552;33,638;53.78%
Skull Basher;47,069;27,266;57.93%
Magic Wand;45,404;20,602;45.37%
Quelling Blade;39,149;16,285;41.60%
Abyssal Blade;28,607;20,040;70.05%
Assault Cuirass;28,044;20,674;73.72%
Dust of Appearance;26,064;11,086;42.53%
