Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;69,69%;51,00%;2,44;339;509
Safe Lane;16,65%;49,80%;2,29;323;490
Mid Lane;8,36%;48,54%;2,82;391;563

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;56,570;31,662;55.97%
Arcane Boots;55,878;26,368;47.19%
Magic Wand;50,446;25,337;50.23%
Tranquil Boots;34,626;17,558;50.71%
Dagon (level 5);32,904;19,212;58.39%
Blink Dagger;30,940;18,231;58.92%
Boots of Speed;25,628;12,248;47.79%
Dust of Appearance;25,518;11,973;46.92%
Aether Lens;23,687;13,174;55.62%
Force Staff;23,288;12,446;53.44%
Observer and Sentry Wards;22,367;8,258;36.92%
Eul's Scepter of Divinity;21,421;12,184;56.88%
