Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;58,34%;52,17%;2,35;328;486
Off Lane;32,60%;52,02%;2,46;359;520
Mid Lane;5,41%;50,00%;2,78;439;573

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;299,864;150,201;50.09%
Hand of Midas;267,505;131,000;48.97%
Arcane Boots;236,772;111,273;47.00%
Magic Wand;170,280;84,010;49.34%
Aghanim's Shard;160,941;90,919;56.49%
Force Staff;156,007;79,431;50.92%
Boots of Speed;122,836;52,379;42.64%
Observer and Sentry Wards;119,566;43,709;36.56%
Aghanim's Scepter;108,829;63,905;58.72%
Octarine Core;97,384;61,716;63.37%
Dust of Appearance;96,338;45,824;47.57%
Tranquil Boots;92,496;46,963;50.77%
