Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;51,99%;56,00%;2,37;299;425
Off Lane;41,57%;55,13%;2,5;347;477

MostUsedItems
Item;Matches;Wins;Win Rate
Magic Wand;35,887;19,102;53.23%
Arcane Boots;34,235;16,911;49.40%
Aether Lens;29,910;17,593;58.82%
Soul Ring;26,208;13,897;53.03%
Aghanim's Shard;24,889;15,599;62.67%
Guardian Greaves;24,767;16,866;68.10%
Observer and Sentry Wards;18,639;7,870;42.22%
Aghanim's Scepter;17,457;11,828;67.76%
Dust of Appearance;16,843;8,807;52.29%
Force Staff;16,829;9,648;57.33%
Smoke of Deceit;13,765;7,867;57.15%
Boots of Speed;12,974;6,112;47.11%
