Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;72,48%;47,78%;2,62;293;435
Off Lane;18,71%;47,30%;2,75;304;454

MostUsedItems
Item;Matches;Wins;Win Rate
Aether Lens;64,833;33,435;51.57%
Aghanim's Shard;37,526;21,160;56.39%
Arcane Boots;36,013;16,844;46.77%
Force Staff;34,515;18,394;53.29%
Magic Wand;33,662;15,982;47.48%
Boots of Speed;30,661;14,053;45.83%
Observer and Sentry Wards;27,678;10,568;38.18%
Glimmer Cape;23,694;12,305;51.93%
Dust of Appearance;23,497;11,336;48.24%
Tranquil Boots;20,486;10,260;50.08%
Smoke of Deceit;20,147;10,514;52.19%
Holy Locket;17,100;10,132;59.25%
