Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Mid Lane;79,63%;50,63%;3,08;510;649
Off Lane;13,16%;49,31%;2,35;434;575
Safe Lane;6,72%;47,20%;2,54;462;554

MostUsedItems
Item;Matches;Wins;Win Rate
Power Treads;211,547;104,357;49.33%
Blink Dagger;182,681;98,529;53.94%
Black King Bar;165,675;88,382;53.35%
Meteor Hammer;152,201;75,287;49.47%
Aghanim's Scepter;137,371;77,699;56.56%
Aghanim's Shard;134,038;79,544;59.34%
Scythe of Vyse;104,147;69,536;66.77%
Witch Blade;90,435;48,024;53.10%
Hurricane Pike;87,392;50,593;57.89%
Null Talisman;85,690;36,220;42.27%
Hand of Midas;50,882;23,806;46.79%
Boots of Travel;49,494;32,111;64.88%
