Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;70,45%;47,84%;2,75;460;614
Mid Lane;21,17%;47,70%;3,35;536;718
Safe Lane;6,72%;42,37%;2,42;443;594

MostUsedItems
Item;Matches;Wins;Win Rate
Aghanim's Shard;115,152;58,452;50.76%
Diffusal Blade;107,502;51,927;48.30%
Arcane Boots;97,697;43,285;44.31%
Blink Dagger;92,082;45,084;48.96%
Aghanim's Scepter;85,949;48,775;56.75%
Skull Basher;85,856;43,006;50.09%
Orb of Corrosion;60,590;27,807;45.89%
Maelstrom;56,080;22,165;39.52%
Magic Wand;50,264;21,124;42.03%
Bottle;41,867;19,581;46.77%
Quelling Blade;29,798;11,244;37.73%
Abyssal Blade;27,342;16,765;61.32%
