Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;81,70%;49,23%;3,01;551;678
Mid Lane;9,91%;52,97%;3,09;515;641
Off Lane;7,37%;46,74%;2,29;452;559

MostUsedItems
Item;Matches;Wins;Win Rate
Black King Bar;524,845;281,837;53.70%
Desolator;507,675;275,729;54.31%
Power Treads;506,170;241,614;47.73%
Battle Fury;501,650;250,814;50.00%
Aghanim's Shard;338,005;198,330;58.68%
Abyssal Blade;239,036;167,174;69.94%
Skull Basher;202,734;104,382;51.49%
Magic Wand;161,967;63,493;39.20%
Wraith Band;125,029;48,282;38.62%
Orb of Corrosion;124,185;53,781;43.31%
Satanic;122,046;84,967;69.62%
Phase Boots;89,445;42,131;47.10%
