Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Safe Lane;86,87%;50,37%;3,06;546;659
Off Lane;7,80%;46,35%;2,21;444;547

MostUsedItems
Item;Matches;Wins;Win Rate
Diffusal Blade;142,340;71,631;50.32%
Power Treads;134,536;66,788;49.64%
Heart of Tarrasque;103,076;62,921;61.04%
Manta Style;100,422;55,115;54.88%
Aghanim's Shard;72,955;42,191;57.83%
Wraith Band;62,875;28,363;45.11%
Magic Wand;45,566;20,889;45.84%
Eye of Skadi;40,794;26,630;65.28%
Quelling Blade;40,084;16,386;40.88%
Skull Basher;26,564;14,441;54.36%
Abyssal Blade;26,321;16,789;63.79%
Butterfly;17,452;12,055;69.08%
