Lane;Presence;Win Rate;KDA Ratio;GPM;XPM
Off Lane;69,98%;49,95%;2,81;375;522
Safe Lane;22,32%;49,32%;2,59;337;480

MostUsedItems
Item;Matches;Wins;Win Rate
Tranquil Boots;104,719;51,583;49.26%
Aghanim's Shard;87,369;46,770;53.53%
Spirit Vessel;48,972;25,943;52.98%
Magic Wand;39,897;19,125;47.94%
Veil of Discord;34,274;17,847;52.07%
Shiva's Guard;29,594;18,411;62.21%
Dust of Appearance;27,078;12,603;46.54%
Aghanim's Scepter;25,922;15,098;58.24%
Eul's Scepter of Divinity;25,044;12,312;49.16%
Observer and Sentry Wards;20,341;7,697;37.84%
Urn of Shadows;19,257;8,186;42.51%
Smoke of Deceit;17,390;8,599;49.45%
